first_frame;second_frame;moved
Cam_1_2016-08-17T23:54:58.638873Z--2016-08-18T00:00:38.484693Z.jpg;Cam_1_2016-08-18T23:59:21.988770Z--2016-08-19T00:05:01.826423Z.jpg;0
Cam_1_2016-08-18T23:59:21.988770Z--2016-08-19T00:05:01.826423Z.jpg;Cam_1_2016-08-19T23:56:34.531805Z--2016-08-20T00:02:15.372776Z.jpg;1
Cam_1_2016-08-19T23:56:34.531805Z--2016-08-20T00:02:15.372776Z.jpg;Cam_1_2016-08-20T23:58:58.603845Z--2016-08-21T00:04:38.451492Z.jpg;0
Cam_1_2016-08-20T23:58:58.603845Z--2016-08-21T00:04:38.451492Z.jpg;Cam_1_2016-08-21T23:57:41.932599Z--2016-08-22T00:03:21.772652Z.jpg;1
Cam_1_2016-08-21T23:57:41.932599Z--2016-08-22T00:03:21.772652Z.jpg;Cam_1_2016-08-22T23:58:35.008174Z--2016-08-23T00:04:14.854174Z.jpg;0
Cam_1_2016-08-22T23:58:35.008174Z--2016-08-23T00:04:14.854174Z.jpg;Cam_1_2016-08-23T23:57:54.434871Z--2016-08-24T00:03:34.280860Z.jpg;0
Cam_1_2016-08-23T23:57:54.434871Z--2016-08-24T00:03:34.280860Z.jpg;Cam_1_2016-08-24T23:58:01.653796Z--2016-08-25T00:03:41.499261Z.jpg;0
Cam_1_2016-08-24T23:58:01.653796Z--2016-08-25T00:03:41.499261Z.jpg;Cam_1_2016-08-25T23:59:54.975487Z--2016-08-26T00:05:34.822358Z.jpg;0
Cam_1_2016-08-25T23:59:54.975487Z--2016-08-26T00:05:34.822358Z.jpg;Cam_1_2016-08-30T23:58:11.389222Z--2016-08-31T00:03:51.234061Z.jpg;0
Cam_1_2016-08-30T23:58:11.389222Z--2016-08-31T00:03:51.234061Z.jpg;Cam_1_2016-08-31T23:59:55.603981Z--2016-09-01T00:05:38.014644Z.jpg;0
Cam_1_2016-08-31T23:59:55.603981Z--2016-09-01T00:05:38.014644Z.jpg;Cam_1_2016-09-01T23:54:31.605556Z--2016-09-02T00:00:11.452562Z.jpg;0
Cam_1_2016-09-01T23:54:31.605556Z--2016-09-02T00:00:11.452562Z.jpg;Cam_1_2016-09-02T23:55:18.017140Z--2016-09-03T00:00:57.864304Z.jpg;0
Cam_1_2016-09-02T23:55:18.017140Z--2016-09-03T00:00:57.864304Z.jpg;Cam_1_2016-09-03T23:55:38.491191Z--2016-09-04T00:01:18.336896Z.jpg;0
Cam_1_2016-09-03T23:55:38.491191Z--2016-09-04T00:01:18.336896Z.jpg;Cam_1_2016-09-04T23:55:44.041409Z--2016-09-05T00:01:23.888402Z.jpg;0
Cam_1_2016-09-04T23:55:44.041409Z--2016-09-05T00:01:23.888402Z.jpg;Cam_1_2016-09-05T23:59:41.497687Z--2016-09-06T00:05:21.343381Z.jpg;0
Cam_1_2016-09-05T23:59:41.497687Z--2016-09-06T00:05:21.343381Z.jpg;Cam_1_2016-09-06T23:59:35.410965Z--2016-09-07T00:05:15.256503Z.jpg;0
Cam_1_2016-09-06T23:59:35.410965Z--2016-09-07T00:05:15.256503Z.jpg;Cam_1_2016-09-07T23:54:53.923547Z--2016-09-08T00:00:33.767745Z.jpg;0
Cam_1_2016-09-07T23:54:53.923547Z--2016-09-08T00:00:33.767745Z.jpg;Cam_1_2016-09-08T23:57:04.381557Z--2016-09-09T00:02:44.226711Z.jpg;0
Cam_1_2016-09-08T23:57:04.381557Z--2016-09-09T00:02:44.226711Z.jpg;Cam_1_2016-09-09T23:59:39.217191Z--2016-09-10T00:05:19.726695Z.jpg;0
Cam_1_2016-09-09T23:59:39.217191Z--2016-09-10T00:05:19.726695Z.jpg;Cam_1_2016-09-10T23:56:05.185147Z--2016-09-11T00:01:46.360933Z.jpg;0
Cam_1_2016-09-10T23:56:05.185147Z--2016-09-11T00:01:46.360933Z.jpg;Cam_1_2016-09-11T23:56:23.042246Z--2016-09-12T00:02:02.889706Z.jpg;0
Cam_1_2016-09-11T23:56:23.042246Z--2016-09-12T00:02:02.889706Z.jpg;Cam_1_2016-09-12T23:57:54.034390Z--2016-09-13T00:03:33.881481Z.jpg;0
Cam_1_2016-09-12T23:57:54.034390Z--2016-09-13T00:03:33.881481Z.jpg;Cam_1_2016-09-13T23:58:55.094811Z--2016-09-14T00:04:34.942622Z.jpg;0
Cam_1_2016-09-13T23:58:55.094811Z--2016-09-14T00:04:34.942622Z.jpg;Cam_1_2016-09-14T23:55:16.426165Z--2016-09-15T00:00:56.272931Z.jpg;0
Cam_1_2016-09-14T23:55:16.426165Z--2016-09-15T00:00:56.272931Z.jpg;Cam_1_2016-09-15T23:56:58.683248Z--2016-09-16T00:02:38.527087Z.jpg;0
Cam_1_2016-09-15T23:56:58.683248Z--2016-09-16T00:02:38.527087Z.jpg;Cam_1_2016-09-16T23:57:34.488490Z--2016-09-17T00:03:14.334293Z.jpg;0
Cam_1_2016-09-16T23:57:34.488490Z--2016-09-17T00:03:14.334293Z.jpg;Cam_1_2016-09-17T23:58:29.891537Z--2016-09-18T00:04:09.736448Z.jpg;0
Cam_1_2016-09-17T23:58:29.891537Z--2016-09-18T00:04:09.736448Z.jpg;Cam_1_2016-09-18T23:58:37.779131Z--2016-09-19T00:04:17.622488Z.jpg;0
