first_frame;second_frame;moved
Cam_2_2016-08-06T23:58:24.451034Z--2016-08-07T00:04:04.297565Z.jpg;Cam_2_2016-08-07T23:56:20.863665Z--2016-08-08T00:02:32.271085Z.jpg;0
Cam_2_2016-08-07T23:56:20.863665Z--2016-08-08T00:02:32.271085Z.jpg;Cam_2_2016-08-08T23:55:54.636577Z--2016-08-09T00:01:34.484005Z.jpg;0
Cam_2_2016-08-08T23:55:54.636577Z--2016-08-09T00:01:34.484005Z.jpg;Cam_2_2016-08-09T23:57:57.238359Z--2016-08-10T00:03:37.084694Z.jpg;0
Cam_2_2016-08-09T23:57:57.238359Z--2016-08-10T00:03:37.084694Z.jpg;Cam_2_2016-08-10T23:56:42.459746Z--2016-08-11T00:02:22.307443Z.jpg;0
Cam_2_2016-08-10T23:56:42.459746Z--2016-08-11T00:02:22.307443Z.jpg;Cam_2_2016-08-11T23:55:09.393455Z--2016-08-12T00:00:49.240031Z.jpg;0
Cam_2_2016-08-11T23:55:09.393455Z--2016-08-12T00:00:49.240031Z.jpg;Cam_2_2016-08-12T23:58:40.320831Z--2016-08-13T00:04:20.168774Z.jpg;0
Cam_2_2016-08-12T23:58:40.320831Z--2016-08-13T00:04:20.168774Z.jpg;Cam_2_2016-08-13T23:54:48.110015Z--2016-08-14T00:00:28.622055Z.jpg;0
Cam_2_2016-08-13T23:54:48.110015Z--2016-08-14T00:00:28.622055Z.jpg;Cam_2_2016-08-14T23:55:34.712953Z--2016-08-15T00:01:22.532976Z.jpg;0
Cam_2_2016-08-14T23:55:34.712953Z--2016-08-15T00:01:22.532976Z.jpg;Cam_2_2016-08-15T23:59:50.314548Z--2016-08-16T00:05:30.159735Z.jpg;0
Cam_2_2016-08-15T23:59:50.314548Z--2016-08-16T00:05:30.159735Z.jpg;Cam_2_2016-08-16T23:55:42.869342Z--2016-08-17T00:01:22.713105Z.jpg;0
Cam_2_2016-08-16T23:55:42.869342Z--2016-08-17T00:01:22.713105Z.jpg;Cam_2_2016-08-17T23:59:51.723969Z--2016-08-18T00:05:31.567473Z.jpg;0
Cam_2_2016-08-17T23:59:51.723969Z--2016-08-18T00:05:31.567473Z.jpg;Cam_2_2016-08-18T23:55:01.682091Z--2016-08-19T00:00:41.529886Z.jpg;0
Cam_2_2016-08-18T23:55:01.682091Z--2016-08-19T00:00:41.529886Z.jpg;Cam_2_2016-08-19T23:59:52.461130Z--2016-08-20T00:05:32.308243Z.jpg;0
Cam_2_2016-08-19T23:59:52.461130Z--2016-08-20T00:05:32.308243Z.jpg;Cam_2_2016-08-20T23:58:38.470191Z--2016-08-21T00:04:18.317827Z.jpg;0
Cam_2_2016-08-20T23:58:38.470191Z--2016-08-21T00:04:18.317827Z.jpg;Cam_2_2016-08-21T23:57:41.158946Z--2016-08-22T00:03:21.006708Z.jpg;0
Cam_2_2016-08-21T23:57:41.158946Z--2016-08-22T00:03:21.006708Z.jpg;Cam_2_2016-08-22T23:55:10.389716Z--2016-08-23T00:00:50.238071Z.jpg;0
Cam_2_2016-08-22T23:55:10.389716Z--2016-08-23T00:00:50.238071Z.jpg;Cam_2_2016-08-23T23:57:12.439981Z--2016-08-24T00:02:52.286482Z.jpg;0
Cam_2_2016-08-23T23:57:12.439981Z--2016-08-24T00:02:52.286482Z.jpg;Cam_2_2016-08-24T23:57:28.436440Z--2016-08-25T00:03:08.284756Z.jpg;0
Cam_2_2016-08-24T23:57:28.436440Z--2016-08-25T00:03:08.284756Z.jpg;Cam_2_2016-08-26T23:55:28.834426Z--2016-08-27T00:01:08.680763Z.jpg;0
Cam_2_2016-08-26T23:55:28.834426Z--2016-08-27T00:01:08.680763Z.jpg;Cam_2_2016-08-27T23:55:47.286962Z--2016-08-28T00:01:27.134683Z.jpg;0
Cam_2_2016-08-27T23:55:47.286962Z--2016-08-28T00:01:27.134683Z.jpg;Cam_2_2016-08-28T23:58:01.736139Z--2016-08-29T00:03:41.583499Z.jpg;0
Cam_2_2016-08-28T23:58:01.736139Z--2016-08-29T00:03:41.583499Z.jpg;Cam_2_2016-08-30T23:58:21.602419Z--2016-08-31T00:04:01.450470Z.jpg;0
Cam_2_2016-08-30T23:58:21.602419Z--2016-08-31T00:04:01.450470Z.jpg;Cam_2_2016-08-31T23:54:30.372831Z--2016-09-01T00:00:15.867351Z.jpg;0
Cam_2_2016-08-31T23:54:30.372831Z--2016-09-01T00:00:15.867351Z.jpg;Cam_2_2016-09-01T23:59:33.102195Z--2016-09-02T00:05:12.948366Z.jpg;0
Cam_2_2016-09-01T23:59:33.102195Z--2016-09-02T00:05:12.948366Z.jpg;Cam_2_2016-09-02T23:57:14.654647Z--2016-09-03T00:02:54.501976Z.jpg;0
Cam_2_2016-09-02T23:57:14.654647Z--2016-09-03T00:02:54.501976Z.jpg;Cam_2_2016-09-03T23:55:29.400018Z--2016-09-04T00:01:09.242224Z.jpg;0
Cam_2_2016-09-03T23:55:29.400018Z--2016-09-04T00:01:09.242224Z.jpg;Cam_2_2016-09-04T23:59:21.052431Z--2016-09-05T00:05:00.900053Z.jpg;0
Cam_2_2016-09-04T23:59:21.052431Z--2016-09-05T00:05:00.900053Z.jpg;Cam_2_2016-09-05T23:58:48.820214Z--2016-09-06T00:04:32.984952Z.jpg;0
Cam_2_2016-09-05T23:58:48.820214Z--2016-09-06T00:04:32.984952Z.jpg;Cam_2_2016-09-06T23:54:42.663874Z--2016-09-07T00:00:22.513047Z.jpg;0
Cam_2_2016-09-06T23:54:42.663874Z--2016-09-07T00:00:22.513047Z.jpg;Cam_2_2016-09-07T23:57:12.811971Z--2016-09-08T00:02:52.658985Z.jpg;0
Cam_2_2016-09-07T23:57:12.811971Z--2016-09-08T00:02:52.658985Z.jpg;Cam_2_2016-09-08T23:56:00.385226Z--2016-09-09T00:01:41.375596Z.jpg;0
Cam_2_2016-09-08T23:56:00.385226Z--2016-09-09T00:01:41.375596Z.jpg;Cam_2_2016-09-09T23:55:08.045732Z--2016-09-10T00:00:45.210564Z.jpg;0
Cam_2_2016-09-09T23:55:08.045732Z--2016-09-10T00:00:45.210564Z.jpg;Cam_2_2016-09-10T23:59:55.817073Z--2016-09-11T00:05:35.664224Z.jpg;0
Cam_2_2016-09-10T23:59:55.817073Z--2016-09-11T00:05:35.664224Z.jpg;Cam_2_2016-09-11T23:57:49.974104Z--2016-09-12T00:03:32.811966Z.jpg;0
Cam_2_2016-09-11T23:57:49.974104Z--2016-09-12T00:03:32.811966Z.jpg;Cam_2_2016-09-12T23:59:34.480539Z--2016-09-13T00:05:14.328397Z.jpg;0
Cam_2_2016-09-12T23:59:34.480539Z--2016-09-13T00:05:14.328397Z.jpg;Cam_2_2016-09-13T23:57:48.390393Z--2016-09-14T00:03:28.237312Z.jpg;0
Cam_2_2016-09-13T23:57:48.390393Z--2016-09-14T00:03:28.237312Z.jpg;Cam_2_2016-09-14T23:56:10.559914Z--2016-09-15T00:01:56.389308Z.jpg;1
Cam_2_2016-09-14T23:56:10.559914Z--2016-09-15T00:01:56.389308Z.jpg;Cam_2_2016-09-15T23:54:21.476651Z--2016-09-16T00:00:01.324865Z.jpg;1
Cam_2_2016-09-15T23:54:21.476651Z--2016-09-16T00:00:01.324865Z.jpg;Cam_2_2016-09-16T23:58:59.733161Z--2016-09-17T00:04:39.583432Z.jpg;0
Cam_2_2016-09-16T23:58:59.733161Z--2016-09-17T00:04:39.583432Z.jpg;Cam_2_2016-09-17T23:59:37.748436Z--2016-09-18T00:05:17.595802Z.jpg;0
Cam_2_2016-09-17T23:59:37.748436Z--2016-09-18T00:05:17.595802Z.jpg;Cam_2_2016-09-18T23:55:56.239379Z--2016-09-19T00:01:36.083408Z.jpg;0
