first_frame;second_frame;moved
Cam_0_2016-08-18T23:59:24.636996Z--2016-08-19T00:05:04.484271Z.jpg;Cam_0_2016-08-19T23:56:08.950352Z--2016-08-20T00:01:48.796205Z.jpg;1
Cam_0_2016-08-19T23:56:08.950352Z--2016-08-20T00:01:48.796205Z.jpg;Cam_0_2016-08-20T23:56:42.732429Z--2016-08-21T00:02:22.580411Z.jpg;0
Cam_0_2016-08-20T23:56:42.732429Z--2016-08-21T00:02:22.580411Z.jpg;Cam_0_2016-08-21T23:57:37.266600Z--2016-08-22T00:03:17.112242Z.jpg;1
Cam_0_2016-08-21T23:57:37.266600Z--2016-08-22T00:03:17.112242Z.jpg;Cam_0_2016-08-22T23:58:36.667880Z--2016-08-23T00:04:16.514719Z.jpg;0
Cam_0_2016-08-22T23:58:36.667880Z--2016-08-23T00:04:16.514719Z.jpg;Cam_0_2016-08-23T23:57:57.756368Z--2016-08-24T00:03:37.602459Z.jpg;1
Cam_0_2016-08-23T23:57:57.756368Z--2016-08-24T00:03:37.602459Z.jpg;Cam_0_2016-08-24T23:58:30.555233Z--2016-08-25T00:04:10.400982Z.jpg;0
Cam_0_2016-08-24T23:58:30.555233Z--2016-08-25T00:04:10.400982Z.jpg;Cam_0_2016-08-25T23:59:54.976654Z--2016-08-26T00:05:34.822424Z.jpg;1
Cam_0_2016-08-25T23:59:54.976654Z--2016-08-26T00:05:34.822424Z.jpg;Cam_0_2016-08-26T23:57:48.970031Z--2016-08-27T00:03:28.816333Z.jpg;0
Cam_0_2016-08-26T23:57:48.970031Z--2016-08-27T00:03:28.816333Z.jpg;Cam_0_2016-08-27T23:55:16.753811Z--2016-08-28T00:00:56.599830Z.jpg;0
Cam_0_2016-08-27T23:55:16.753811Z--2016-08-28T00:00:56.599830Z.jpg;Cam_0_2016-08-28T23:55:22.345146Z--2016-08-29T00:01:02.190997Z.jpg;0
Cam_0_2016-08-28T23:55:22.345146Z--2016-08-29T00:01:02.190997Z.jpg;Cam_0_2016-08-30T23:58:11.389050Z--2016-08-31T00:03:51.237250Z.jpg;0
Cam_0_2016-08-30T23:58:11.389050Z--2016-08-31T00:03:51.237250Z.jpg;Cam_0_2016-08-31T23:58:37.868238Z--2016-09-01T00:04:17.713289Z.jpg;1
Cam_0_2016-08-31T23:58:37.868238Z--2016-09-01T00:04:17.713289Z.jpg;Cam_0_2016-09-01T23:58:56.705047Z--2016-09-02T00:04:36.550808Z.jpg;1
Cam_0_2016-09-01T23:58:56.705047Z--2016-09-02T00:04:36.550808Z.jpg;Cam_0_2016-09-02T23:55:17.685613Z--2016-09-03T00:00:57.531028Z.jpg;1
Cam_0_2016-09-02T23:55:17.685613Z--2016-09-03T00:00:57.531028Z.jpg;Cam_0_2016-09-05T23:59:41.497608Z--2016-09-06T00:05:21.343232Z.jpg;0
Cam_0_2016-09-05T23:59:41.497608Z--2016-09-06T00:05:21.343232Z.jpg;Cam_0_2016-09-06T23:59:35.410896Z--2016-09-07T00:05:15.256670Z.jpg;1
Cam_0_2016-09-06T23:59:35.410896Z--2016-09-07T00:05:15.256670Z.jpg;Cam_0_2016-09-07T23:54:45.616857Z--2016-09-08T00:00:25.463704Z.jpg;1
Cam_0_2016-09-07T23:54:45.616857Z--2016-09-08T00:00:25.463704Z.jpg;Cam_0_2016-09-08T23:55:31.029794Z--2016-09-09T00:01:10.876224Z.jpg;1
Cam_0_2016-09-08T23:55:31.029794Z--2016-09-09T00:01:10.876224Z.jpg;Cam_0_2016-09-09T23:59:35.896422Z--2016-09-10T00:05:15.740409Z.jpg;1
Cam_0_2016-09-09T23:59:35.896422Z--2016-09-10T00:05:15.740409Z.jpg;Cam_0_2016-09-10T23:59:56.068425Z--2016-09-11T00:05:35.914788Z.jpg;0
Cam_0_2016-09-10T23:59:56.068425Z--2016-09-11T00:05:35.914788Z.jpg;Cam_0_2016-09-11T23:56:22.709544Z--2016-09-12T00:02:02.555846Z.jpg;0
Cam_0_2016-09-11T23:56:22.709544Z--2016-09-12T00:02:02.555846Z.jpg;Cam_0_2016-09-12T23:57:53.038757Z--2016-09-13T00:03:32.884489Z.jpg;0
Cam_0_2016-09-12T23:57:53.038757Z--2016-09-13T00:03:32.884489Z.jpg;Cam_0_2016-09-13T23:58:04.599069Z--2016-09-14T00:03:44.445629Z.jpg;0
Cam_0_2016-09-13T23:58:04.599069Z--2016-09-14T00:03:44.445629Z.jpg;Cam_0_2016-09-14T23:55:16.426084Z--2016-09-15T00:00:56.272930Z.jpg;1
Cam_0_2016-09-14T23:55:16.426084Z--2016-09-15T00:00:56.272930Z.jpg;Cam_0_2016-09-15T23:56:58.681255Z--2016-09-16T00:02:38.527046Z.jpg;1
Cam_0_2016-09-15T23:56:58.681255Z--2016-09-16T00:02:38.527046Z.jpg;Cam_0_2016-09-16T23:57:06.581468Z--2016-09-17T00:02:46.430224Z.jpg;0
Cam_0_2016-09-16T23:57:06.581468Z--2016-09-17T00:02:46.430224Z.jpg;Cam_0_2016-09-17T23:58:29.557246Z--2016-09-18T00:04:09.403332Z.jpg;1
Cam_0_2016-09-17T23:58:29.557246Z--2016-09-18T00:04:09.403332Z.jpg;Cam_0_2016-09-18T23:58:35.782816Z--2016-09-19T00:04:15.628194Z.jpg;0
